departamento,municipio,genero,menciones,preferencia,confianza,fuentes
"Bolivar","El Penon","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Santander","Curiti","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Norte De Santander","Gramalote","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Boavita","Reggaeton","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Caldas","Riosucio","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cauca","Caldono","Reggaeton","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Susa","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Narino","Iles","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Ambalema","Musica popular","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Bolivar","Turbaco","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Fuquene","Clasica","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Casanare","San Luis De Palenque","Cumbia","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cordoba","Purisima De La Concepcion","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Nocaima","Cumbia","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Archipielago De San Andres, Providencia Y Santa Catalina","Providencia","Rock","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Choco","Novita","Folclor","1","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Santa Isabel","Llanera","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Santa Isabel","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Norte De Santander","Cucutilla","Salsa","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Funza","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Funza","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","La Union","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","La Union","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Ricaurte","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Honda","Llanera","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Honda","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Iza","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Iza","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Tocancipa","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Tocancipa","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Santander","El Carmen De Chucuri","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Santander","El Carmen De Chucuri","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Norte De Santander","Mutiscua","Musica popular","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Norte De Santander","Mutiscua","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","San Antonio","Reggaeton","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","San Antonio","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"La Guajira","El Molino","Rock","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"La Guajira","El Molino","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Lerida","Folclor","1","50","100","Espacios de las Artes, las Culturas y los Saberes"
