nombre,departamento,municipio,tipo,anio,fecha,calidad,fuente,dataset_id,fecha_extraccion
"Ciudad Equidad","Magdalena","Santa Marta","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Armonia 9","Huila","Neiva","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"La Alegria","Huila","Neiva","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Urcunina","Narino","Pasto","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Elias Mauricio Soto","Norte De Santander","San Jose De Cucuta","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Jose Rozo Contreras","Norte De Santander","San Jose De Cucuta","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Oriol Rangel Rozo","Norte De Santander","San Jose De Cucuta","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Comuna 3","Santander","Barrancabermeja","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Gardenias","Atlantico","Barranquilla","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Villas De San Pablo","Atlantico","Barranquilla","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Sabanalarga","Atlantico","Sabanalarga","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Ciudad Bolivar","Bogota, D. C.","Bogota, D.C.","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
